reference,year,month,day,survey_score
flat 1a 33 draywick,2023,1,1,
flat 1a 33 draywick,2023,1,2,
flat 1a 33 draywick,2023,1,3,
flat 1a 33 draywick,2023,1,4,
flat 1a 33 draywick,2023,1,5,
flat 1a 33 draywick,2023,1,6,
flat 1a 33 draywick,2023,1,7,
flat 1a 33 draywick,2023,1,8,
flat 1a 33 draywick,2023,1,9,
flat 1a 33 draywick,2023,1,10,
flat 1a 33 draywick,2023,1,11,
flat 1a 33 draywick,2023,1,12,
flat 1a 33 draywick,2023,1,13,
flat 1a 33 draywick,2023,1,14,
flat 1a 33 draywick,2023,1,15,4.5
flat 1a 33 draywick,2023,1,16,
flat 1a 33 draywick,2023,1,17,
flat 1a 33 draywick,2023,1,18,
flat 1a 33 draywick,2023,1,19,
flat 1a 33 draywick,2023,1,20,
flat 1a 33 draywick,2023,1,21,
flat 1a 33 draywick,2023,1,22,
flat 1a 33 draywick,2023,1,23,
flat 1a 33 draywick,2023,1,24,
flat 1a 33 draywick,2023,1,25,
flat 1a 33 draywick,2023,1,26,
flat 1a 33 draywick,2023,1,27,
flat 1a 33 draywick,2023,1,28,
flat 1a 33 draywick,2023,1,29,
flat 1a 33 draywick,2023,1,30,
flat 1a 33 draywick,2023,1,31,5.0
flat 1a 33 draywick,2023,2,1,
flat 1a 33 draywick,2023,2,2,
flat 1a 33 draywick,2023,2,3,
flat 1a 33 draywick,2023,2,4,
flat 1a 33 draywick,2023,2,5,
flat 1a 33 draywick,2023,2,6,
flat 1a 33 draywick,2023,2,7,
flat 1a 33 draywick,2023,2,8,
flat 1a 33 draywick,2023,2,9,
flat 1a 33 draywick,2023,2,10,
flat 1a 33 draywick,2023,2,11,
flat 1a 33 draywick,2023,2,12,
flat 1a 33 draywick,2023,2,13,
flat 1a 33 draywick,2023,2,14,
flat 1a 33 draywick,2023,2,15,
flat 1a 33 draywick,2023,2,16,
flat 1a 33 draywick,2023,2,17,
flat 1a 33 draywick,2023,2,18,
flat 1a 33 draywick,2023,2,19,
flat 1a 33 draywick,2023,2,20,
flat 1a 33 draywick,2023,2,21,
flat 1a 33 draywick,2023,2,22,
flat 1a 33 draywick,2023,2,23,
flat 1a 33 draywick,2023,2,24,
flat 1a 33 draywick,2023,2,25,
flat 1a 33 draywick,2023,2,26,
flat 1a 33 draywick,2023,2,27,
flat 1a 33 draywick,2023,2,28,
flat 1a 33 draywick,2023,3,1,
flat 1a 33 draywick,2023,3,2,
flat 1a 33 draywick,2023,3,3,4.0
flat 1a 33 draywick,2023,3,4,
flat 1a 33 draywick,2023,3,5,
flat 1a 33 draywick,2023,3,6,
flat 1a 33 draywick,2023,3,7,
flat 1a 33 draywick,2023,3,8,
flat 1a 33 draywick,2023,3,9,
flat 1a 33 draywick,2023,3,10,
flat 1a 33 draywick,2023,3,11,
flat 1a 33 draywick,2023,3,12,
flat 1a 33 draywick,2023,3,13,
flat 1a 33 draywick,2023,3,14,
flat 1a 33 draywick,2023,3,15,
flat 1a 33 draywick,2023,3,16,
flat 1a 33 draywick,2023,3,17,
flat 1a 33 draywick,2023,3,18,
flat 1a 33 draywick,2023,3,19,
flat 1a 33 draywick,2023,3,20,
flat 1a 33 draywick,2023,3,21,
flat 1a 33 draywick,2023,3,22,
flat 1a 33 draywick,2023,3,23,
flat 1a 33 draywick,2023,3,24,
flat 1a 33 draywick,2023,3,25,
flat 1a 33 draywick,2023,3,26,
flat 1a 33 draywick,2023,3,27,
flat 1a 33 draywick,2023,3,28,
flat 1a 33 draywick,2023,3,29,
flat 1a 33 draywick,2023,3,30,
flat 1a 33 draywick,2023,3,31,
U404211655,2023,1,1,
U404211655,2023,1,2,
U404211655,2023,1,3,
U404211655,2023,1,4,
U404211655,2023,1,5,
U404211655,2023,1,6,
U404211655,2023,1,7,
U404211655,2023,1,8,
U404211655,2023,1,9,
U404211655,2023,1,10,
U404211655,2023,1,11,1.0
U404211655,2023,1,12,
U404211655,2023,1,13,
U404211655,2023,1,14,
U404211655,2023,1,15,
U404211655,2023,1,16,
U404211655,2023,1,17,
U404211655,2023,1,18,
U404211655,2023,1,19,
U404211655,2023,1,20,
U404211655,2023,1,21,
U404211655,2023,1,22,
U404211655,2023,1,23,
U404211655,2023,1,24,
U404211655,2023,1,25,
U404211655,2023,1,26,
U404211655,2023,1,27,
U404211655,2023,1,28,
U404211655,2023,1,29,
U404211655,2023,1,30,
U404211655,2023,1,31,
U404211655,2023,2,1,
U404211655,2023,2,2,
U404211655,2023,2,3,
U404211655,2023,2,4,
U404211655,2023,2,5,
U404211655,2023,2,6,
U404211655,2023,2,7,
U404211655,2023,2,8,
U404211655,2023,2,9,
U404211655,2023,2,10,
U404211655,2023,2,11,
U404211655,2023,2,12,
U404211655,2023,2,13,
U404211655,2023,2,14,
U404211655,2023,2,15,
U404211655,2023,2,16,
U404211655,2023,2,17,
U404211655,2023,2,18,
U404211655,2023,2,19,
U404211655,2023,2,20,
U404211655,2023,2,21,
U404211655,2023,2,22,
U404211655,2023,2,23,
U404211655,2023,2,24,
U404211655,2023,2,25,
U404211655,2023,2,26,
U404211655,2023,2,27,
U404211655,2023,2,28,
U404211655,2023,3,1,
U404211655,2023,3,2,
U404211655,2023,3,3,
U404211655,2023,3,4,
U404211655,2023,3,5,
U404211655,2023,3,6,
U404211655,2023,3,7,
U404211655,2023,3,8,
U404211655,2023,3,9,
U404211655,2023,3,10,
U404211655,2023,3,11,
U404211655,2023,3,12,
U404211655,2023,3,13,
U404211655,2023,3,14,
U404211655,2023,3,15,
U404211655,2023,3,16,
U404211655,2023,3,17,
U404211655,2023,3,18,
U404211655,2023,3,19,
U404211655,2023,3,20,
U404211655,2023,3,21,
U404211655,2023,3,22,
U404211655,2023,3,23,
U404211655,2023,3,24,
U404211655,2023,3,25,
U404211655,2023,3,26,
U404211655,2023,3,27,
U404211655,2023,3,28,
U404211655,2023,3,29,
U404211655,2023,3,30,2.0
U404211655,2023,3,31,
flat 2b 54,2023,1,1,
flat 2b 54,2023,1,2,
flat 2b 54,2023,1,3,
flat 2b 54,2023,1,4,
flat 2b 54,2023,1,5,
flat 2b 54,2023,1,6,
flat 2b 54,2023,1,7,
flat 2b 54,2023,1,8,
flat 2b 54,2023,1,9,
flat 2b 54,2023,1,10,
flat 2b 54,2023,1,11,
flat 2b 54,2023,1,12,
flat 2b 54,2023,1,13,
flat 2b 54,2023,1,14,
flat 2b 54,2023,1,15,
flat 2b 54,2023,1,16,
flat 2b 54,2023,1,17,
flat 2b 54,2023,1,18,
flat 2b 54,2023,1,19,
flat 2b 54,2023,1,20,
flat 2b 54,2023,1,21,
flat 2b 54,2023,1,22,
flat 2b 54,2023,1,23,
flat 2b 54,2023,1,24,
flat 2b 54,2023,1,25,
flat 2b 54,2023,1,26,
flat 2b 54,2023,1,27,
flat 2b 54,2023,1,28,
flat 2b 54,2023,1,29,
flat 2b 54,2023,1,30,
flat 2b 54,2023,1,31,
flat 2b 54,2023,2,1,
flat 2b 54,2023,2,2,
flat 2b 54,2023,2,3,
flat 2b 54,2023,2,4,
flat 2b 54,2023,2,5,
flat 2b 54,2023,2,6,
flat 2b 54,2023,2,7,
flat 2b 54,2023,2,8,
flat 2b 54,2023,2,9,
flat 2b 54,2023,2,10,
flat 2b 54,2023,2,11,
flat 2b 54,2023,2,12,
flat 2b 54,2023,2,13,
flat 2b 54,2023,2,14,
flat 2b 54,2023,2,15,
flat 2b 54,2023,2,16,
flat 2b 54,2023,2,17,
flat 2b 54,2023,2,18,
flat 2b 54,2023,2,19,
flat 2b 54,2023,2,20,
flat 2b 54,2023,2,21,
flat 2b 54,2023,2,22,
flat 2b 54,2023,2,23,
flat 2b 54,2023,2,24,
flat 2b 54,2023,2,25,
flat 2b 54,2023,2,26,
flat 2b 54,2023,2,27,
flat 2b 54,2023,2,28,
flat 2b 54,2023,3,1,
flat 2b 54,2023,3,2,
flat 2b 54,2023,3,3,
flat 2b 54,2023,3,4,
flat 2b 54,2023,3,5,
flat 2b 54,2023,3,6,
flat 2b 54,2023,3,7,
flat 2b 54,2023,3,8,4.5
flat 2b 54,2023,3,9,4.0
flat 2b 54,2023,3,10,
flat 2b 54,2023,3,11,
flat 2b 54,2023,3,12,
flat 2b 54,2023,3,13,
flat 2b 54,2023,3,14,
flat 2b 54,2023,3,15,
flat 2b 54,2023,3,16,
flat 2b 54,2023,3,17,
flat 2b 54,2023,3,18,
flat 2b 54,2023,3,19,
flat 2b 54,2023,3,20,
flat 2b 54,2023,3,21,
flat 2b 54,2023,3,22,
flat 2b 54,2023,3,23,
flat 2b 54,2023,3,24,
flat 2b 54,2023,3,25,
flat 2b 54,2023,3,26,
flat 2b 54,2023,3,27,
flat 2b 54,2023,3,28,4.5
flat 2b 54,2023,3,29,
flat 2b 54,2023,3,30,
flat 2b 54,2023,3,31,
U295345,2023,1,1,
U295345,2023,1,2,
U295345,2023,1,3,
U295345,2023,1,4,
U295345,2023,1,5,
U295345,2023,1,6,
U295345,2023,1,7,
U295345,2023,1,8,
U295345,2023,1,9,
U295345,2023,1,10,
U295345,2023,1,11,
U295345,2023,1,12,
U295345,2023,1,13,
U295345,2023,1,14,
U295345,2023,1,15,
U295345,2023,1,16,
U295345,2023,1,17,
U295345,2023,1,18,
U295345,2023,1,19,
U295345,2023,1,20,
U295345,2023,1,21,
U295345,2023,1,22,
U295345,2023,1,23,
U295345,2023,1,24,
U295345,2023,1,25,
U295345,2023,1,26,
U295345,2023,1,27,
U295345,2023,1,28,
U295345,2023,1,29,
U295345,2023,1,30,
U295345,2023,1,31,
U295345,2023,2,1,
U295345,2023,2,2,
U295345,2023,2,3,
U295345,2023,2,4,
U295345,2023,2,5,
U295345,2023,2,6,
U295345,2023,2,7,
U295345,2023,2,8,
U295345,2023,2,9,
U295345,2023,2,10,
U295345,2023,2,11,
U295345,2023,2,12,
U295345,2023,2,13,
U295345,2023,2,14,
U295345,2023,2,15,
U295345,2023,2,16,
U295345,2023,2,17,
U295345,2023,2,18,
U295345,2023,2,19,
U295345,2023,2,20,
U295345,2023,2,21,
U295345,2023,2,22,
U295345,2023,2,23,
U295345,2023,2,24,
U295345,2023,2,25,
U295345,2023,2,26,
U295345,2023,2,27,
U295345,2023,2,28,
U295345,2023,3,1,
U295345,2023,3,2,
U295345,2023,3,3,
U295345,2023,3,4,
U295345,2023,3,5,
U295345,2023,3,6,
U295345,2023,3,7,
U295345,2023,3,8,
U295345,2023,3,9,
U295345,2023,3,10,
U295345,2023,3,11,4.5
U295345,2023,3,12,
U295345,2023,3,13,
U295345,2023,3,14,
U295345,2023,3,15,
U295345,2023,3,16,
U295345,2023,3,17,
U295345,2023,3,18,
U295345,2023,3,19,
U295345,2023,3,20,
U295345,2023,3,21,
U295345,2023,3,22,
U295345,2023,3,23,
U295345,2023,3,24,
U295345,2023,3,25,
U295345,2023,3,26,
U295345,2023,3,27,
U295345,2023,3,28,
U295345,2023,3,29,
U295345,2023,3,30,
U295345,2023,3,31,
apt 4b quinley,2023,1,1,
apt 4b quinley,2023,1,2,
apt 4b quinley,2023,1,3,
apt 4b quinley,2023,1,4,
apt 4b quinley,2023,1,5,
apt 4b quinley,2023,1,6,
apt 4b quinley,2023,1,7,
apt 4b quinley,2023,1,8,
apt 4b quinley,2023,1,9,
apt 4b quinley,2023,1,10,
apt 4b quinley,2023,1,11,
apt 4b quinley,2023,1,12,
apt 4b quinley,2023,1,13,
apt 4b quinley,2023,1,14,
apt 4b quinley,2023,1,15,
apt 4b quinley,2023,1,16,
apt 4b quinley,2023,1,17,
apt 4b quinley,2023,1,18,
apt 4b quinley,2023,1,19,
apt 4b quinley,2023,1,20,
apt 4b quinley,2023,1,21,
apt 4b quinley,2023,1,22,
apt 4b quinley,2023,1,23,
apt 4b quinley,2023,1,24,
apt 4b quinley,2023,1,25,
apt 4b quinley,2023,1,26,
apt 4b quinley,2023,1,27,
apt 4b quinley,2023,1,28,
apt 4b quinley,2023,1,29,
apt 4b quinley,2023,1,30,
apt 4b quinley,2023,1,31,
apt 4b quinley,2023,2,1,
apt 4b quinley,2023,2,2,
apt 4b quinley,2023,2,3,
apt 4b quinley,2023,2,4,
apt 4b quinley,2023,2,5,
apt 4b quinley,2023,2,6,
apt 4b quinley,2023,2,7,
apt 4b quinley,2023,2,8,
apt 4b quinley,2023,2,9,
apt 4b quinley,2023,2,10,
apt 4b quinley,2023,2,11,
apt 4b quinley,2023,2,12,
apt 4b quinley,2023,2,13,
apt 4b quinley,2023,2,14,
apt 4b quinley,2023,2,15,
apt 4b quinley,2023,2,16,
apt 4b quinley,2023,2,17,
apt 4b quinley,2023,2,18,
apt 4b quinley,2023,2,19,
apt 4b quinley,2023,2,20,
apt 4b quinley,2023,2,21,
apt 4b quinley,2023,2,22,
apt 4b quinley,2023,2,23,
apt 4b quinley,2023,2,24,
apt 4b quinley,2023,2,25,
apt 4b quinley,2023,2,26,
apt 4b quinley,2023,2,27,
apt 4b quinley,2023,2,28,
apt 4b quinley,2023,3,1,
apt 4b quinley,2023,3,2,
apt 4b quinley,2023,3,3,
apt 4b quinley,2023,3,4,
apt 4b quinley,2023,3,5,
apt 4b quinley,2023,3,6,
apt 4b quinley,2023,3,7,
apt 4b quinley,2023,3,8,
apt 4b quinley,2023,3,9,
apt 4b quinley,2023,3,10,
apt 4b quinley,2023,3,11,
apt 4b quinley,2023,3,12,
apt 4b quinley,2023,3,13,
apt 4b quinley,2023,3,14,
apt 4b quinley,2023,3,15,
apt 4b quinley,2023,3,16,
apt 4b quinley,2023,3,17,
apt 4b quinley,2023,3,18,
apt 4b quinley,2023,3,19,
apt 4b quinley,2023,3,20,
apt 4b quinley,2023,3,21,
apt 4b quinley,2023,3,22,
apt 4b quinley,2023,3,23,
apt 4b quinley,2023,3,24,
apt 4b quinley,2023,3,25,
apt 4b quinley,2023,3,26,
apt 4b quinley,2023,3,27,
apt 4b quinley,2023,3,28,
apt 4b quinley,2023,3,29,
apt 4b quinley,2023,3,30,
apt 4b quinley,2023,3,31,
U528896154,2023,1,1,
U528896154,2023,1,2,
U528896154,2023,1,3,
U528896154,2023,1,4,
U528896154,2023,1,5,
U528896154,2023,1,6,
U528896154,2023,1,7,
U528896154,2023,1,8,
U528896154,2023,1,9,
U528896154,2023,1,10,
U528896154,2023,1,11,
U528896154,2023,1,12,
U528896154,2023,1,13,
U528896154,2023,1,14,
U528896154,2023,1,15,
U528896154,2023,1,16,
U528896154,2023,1,17,
U528896154,2023,1,18,
U528896154,2023,1,19,
U528896154,2023,1,20,
U528896154,2023,1,21,
U528896154,2023,1,22,
U528896154,2023,1,23,
U528896154,2023,1,24,3.0
U528896154,2023,1,25,
U528896154,2023,1,26,
U528896154,2023,1,27,
U528896154,2023,1,28,
U528896154,2023,1,29,
U528896154,2023,1,30,
